49 CFR 172.101 Hazardous Materials Table,,,,,,,,,,,,,,,
Symbols,Hazardous materials description and proper shipping names,Hazard class or Division,ID Numbers,PG,Label Codes,Special provisions (172.102),Packaging (173.***),,,Quantity limitations,,Vessel stowage,,,
,Methyl iodide,6.1,UN2644,I,6.1,"2, B9, B14, B32, B74, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,A,"12, 40",,
,Methyl isobutyl carbinol,3,UN2053,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Methyl isobutyl ketone,3,UN1245,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"Methyl isobutyl ketone peroxide, in solution with > 9% by mass active oxygen",Forbidden,,,,,,,,,,,,,
,Methyl isocyanate,6.1,UN2480,I,"6.1, 3","1, B9, B14, B30, B72, T22, TP2, TP13, TP38, TP44",None,226,244,Forbidden,Forbidden,D,"40, 52",,
,"Methyl isopropenyl ketone, stabilized",3,UN1246,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,Methyl isothiocyanate,6.1,UN2477,I,"6.1, 3","2, B9, B14, B32, B74, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,A,,,
,Methyl isovalerate,3,UN2400,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"Methyl magnesium bromide, in ethyl ether",4.3,UN1928,I,"4.3, 3",,None,201,243,Forbidden,1 L,D,,,
,Methyl mercaptan,2.3,UN1064,,"2.3, 2.1","3, B7, B9, B14, N89, T50",None,304,"314, 315",Forbidden,Forbidden,D,40,,
,"Methyl mercaptopropionaldehyde, see 4-Thiapentanal",,,,,,,,,,,,,,
,"Methyl methacrylate monomer, stabilized",3,UN1247,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,40,,
,4-Methylmorpholine or n-methylmorpholine,3,UN2535,II,"3, 8","B6, IB2, T7, TP1",150,202,243,1 L,5 L,B,40,,
,Methyl nitramine (dry),Forbidden,,,,,,,,,,,,,
,Methyl nitrate,Forbidden,,,,,,,,,,,,,
,Methyl nitrite,Forbidden,,,,,,,,,,,,,
,"Methyl norbornene dicarboxylic anhydride, see Corrosive liquids, n.o.s.",,,,,,,,,,,,,,
,Methyl orthosilicate,6.1,UN2606,I,"6.1, 3","2, B9, B14, B32, B74, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,E,40,,
,Methylpentadienes,3,UN2461,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,E,,,
,2-Methylpentan-2-ol,3,UN2560,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,"Methylpentanes, see Hexanes",,,,,,,,,,,,,,
,Methylphenyldichlorosilane,8,UN2437,II,8,"IB2, T7, TP2, TP13",None,202,242,1 L,30 L,C,40,,
D ,Methyl phosphonic dichloride,6.1,NA9206,I,"6.1, 8","2, B9, B14, B32, B74, N34, N43, T20, TP4, TP12, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,C,,,
,"Methyl phosphonothioic dichloride, anhydrous, see Corrosive liquid, n.o.s.",,,,,,,,,,,,,,
D ,"Methyl phosphonous dichloride, pyrophoric liquid",6.1,NA2845,I,"6.1, 4.2","2, B9, B14, B16, B32, B74, T20, TP4, TP12, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,D,18,,
,Methyl picric acid (heavy metal salts of),Forbidden,,,,,,,,,,,,,
,1-Methylpiperidine,3,UN2399,II,"3, 8","IB2, T7, TP1",150,202,243,1 L,5 L,B,52,,
,Methyl propionate,3,UN1248,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,Methyl propyl ether,3,UN2612,II,3,"IB2, IP8, T7, TP2",150,202,242,5 L,60 L,E,40,,
,Methyl propyl ketone,3,UN1249,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"Methyl sulfate, see Dimethyl sulfate",,,,,,,,,,,,,,
,"Methyl sulfide, see Dimethyl sulfide",,,,,,,,,,,,,,
,Methyl tert-butyl ether,3,UN2398,II,3,"IB2, T7, TP1",150,202,242,5 L,60 L,E,,,
,Methyltetrahydrofuran,3,UN2536,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,Methyl trichloroacetate,6.1,UN2533,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,,,
,Methyltrichlorosilane,3,UN1250,I,"3, 8","A7, B6, B77, N34, T11, TP2, TP13",None,201,243,Forbidden,2.5 L,B,40,,
,Methyl trimethylol methane trinitrate,Forbidden,,,,,,,,,,,,,
,alpha-Methylvaleraldehyde,3,UN2367,II,3,"B1, IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"Methyl vinyl ketone, stabilized",6.1,UN1251,I,"6.1, 3, 8","1, B9, B14, B30, B72, T22, TP2, TP13, TP38, TP44",None,226,244,Forbidden,Forbidden,B,40,,
,"Mine rescue equipment containing carbon dioxide, see Carbon dioxide",,,,,,,,,,,,,,
,Mines with bursting charge,1.1F,UN0136,II,1.1F,,,62,None,Forbidden,Forbidden,8,,,
,Mines with bursting charge,1.1D,UN0137,II,1.1D,,,62,None,Forbidden,Forbidden,3,,,
,Mines with bursting charge,1.2D,UN0138,II,1.2D,,,62,None,Forbidden,Forbidden,3,,,
,Mines with bursting charge,1.2F,UN0294,II,1.2F,,,62,None,Forbidden,Forbidden,8,,,
,"Mixed acid, see Nitrating acid, mixtures etc",,,,,,,,,,,,,,
,"Mobility aids, see Battery powered equipment or Battery powered vehicle'",,,,,,,,,,,,,,
D ,Model rocket motor,1.4S,NA0323,II,1.4S,51,None,62,None,25 kg,100 kg,5,,,
D ,Model rocket motor,1.4C,NA0276,II,1.4C,51,None,62,None,Forbidden,75 kg,6,,,
,Molybdenum pentachloride,8,UN2508,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,C,40,,
,Monochloroacetone (unstabilized),Forbidden,,,,,,,,,,,,,
,"Monochloroethylene, see Vinyl chloride, stabilized",,,,,,,,,,,,,,
,"Monoethanolamine, see Ethanolamine, solutions",,,,,,,,,,,,,,
,"Monoethylamine, see Ethylamine",,,,,,,,,,,,,,
,Morpholine,8,UN2054,I,"8, 3","A6, T10, TP2",None,201,243,0.5 L,2.5 L,A,,,
,"Morpholine, aqueous, mixture, see Corrosive liquids, n.o.s.",,,,,,,,,,,,,,
,Motor fuel anti-knock compounds see Motor fuel anti-knock mixtures,,,,,,,,,,,,,,
+ ,Motor fuel anti-knock mixtures,6.1,UN1649,I,6.1,"14, 151, B9, B90, T14, TP2, TP13",None,201,244,Forbidden,30 L,D,"25, 40",,
,"Motor spirit, see Gasoline",,,,,,,,,,,,,,
,"Muriatic acid, see Hydrochloric acid",,,,,,,,,,,,,,
,"Musk xylene, see 5-tert-Butyl-2,4,6-trinitro-m-xylene",,,,,,,,,,,,,,
,"Naphthalene, crude or Naphthalene, refined",4.1,UN1334,III,4.1,"A1, IB8, IP3, T1, TP33",151,213,240,25 kg,100 kg,A,,,
,Naphthalene diozonide,Forbidden,,,,,,,,,,,,,
,"Naphthalene, molten",4.1,UN2304,III,4.1,"IB1, T1, TP3",151,213,241,Forbidden,Forbidden,C,,,
,Naphtha see Petroleum distillates n.o.s.,,,,,,,,,,,,,,
,alpha-Naphthylamine,6.1,UN2077,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,Naphthylamineperchlorate,Forbidden,,,,,,,,,,,,,
,"beta-Naphthylamine, solid",6.1,UN1650,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,beta-Naphthylamine solution,6.1,UN3411,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,,,
,beta-Naphthylamine solution,6.1,UN3411,III,6.1,"IB2, T7, TP2",153,203,241,60 L,220 L,A,,,
,Naphthylthiourea,6.1,UN1651,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Naphthylurea,6.1,UN1652,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Natural gases (with high methane content), see Methane, etc. (UN 1971, UN 1972)",,,,,,,,,,,,,,
,"Neohexane, see Hexanes",,,,,,,,,,,,,,
,"Neon, compressed",2.2,UN1065,,2.2,,306,302,302,75 kg,150 kg,A,,,
,"Neon, refrigerated liquid (cryogenic liquid)",2.2,UN1913,,2.2,"T75, TP5",320,316,None,50 kg,500 kg,B,,,
,"New explosive or explosive device, see §§173.51 and 173.56",,,,,,,,,,,,,,
,Nickel carbonyl,6.1,UN1259,I,"6.1, 3",1,None,198,None,Forbidden,Forbidden,D,"18, 40",,
,Nickel cyanide,6.1,UN1653,II,6.1,"IB8, IP2, IP4, N74, N75, T3, TP33",153,212,242,25 kg,100 kg,A,52,,
,Nickel nitrate,5.1,UN2725,III,5.1,"A1, IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,,,
,Nickel nitrite,5.1,UN2726,III,5.1,"A1, IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,"56, 58",,
,Nickel picrate,Forbidden,,,,,,,,,,,,,
,Nicotine,6.1,UN1654,II,6.1,IB2,153,202,243,5 L,60 L,A,,,
,"Nicotine compounds, liquid, n.o.s. or Nicotine preparations, liquid, n.o.s.",6.1,UN3144,I,6.1,A4,None,201,243,1 L,30 L,B,40,,
,"Nicotine compounds, liquid, n.o.s. or Nicotine preparations, liquid, n.o.s.",6.1,UN3144,II,6.1,"IB2, T11, TP2, TP27",153,202,243,5 L,60 L,B,40,,
,"Nicotine compounds, liquid, n.o.s. or Nicotine preparations, liquid, n.o.s.",6.1,UN3144,III,6.1,"IB3, T7, TP1, TP28",153,203,241,60 L,220 L,B,40,,
,"Nicotine compounds, solid, n.o.s. or Nicotine preparations, solid, n.o.s.",6.1,UN1655,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,B,,,
,"Nicotine compounds, solid, n.o.s. or Nicotine preparations, solid, n.o.s.",6.1,UN1655,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Nicotine compounds, solid, n.o.s. or Nicotine preparations, solid, n.o.s.",6.1,UN1655,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,Nicotine hydrochloride liquid or solution,6.1,UN1656,II,6.1,IB2,153,202,243,5 L,60 L,A,,,
,Nicotine hydrochloride liquid or solution,6.1,UN1656,III,6.1,IB3,153,203,241,60 L,220 L,A,,,
,"Nicotine hydrochloride, solid",6.1,UN3444,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Nicotine salicylate,6.1,UN1657,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Nicotine sulfate solution,6.1,UN1658,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,,,
,Nicotine sulfate solution,6.1,UN1658,III,6.1,"IB3, T7, TP2",153,203,241,60 L,220 L,A,,,
,"Nicotine sulphate, solid",6.1,UN3445,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Nicotine tartrate,6.1,UN1659,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Nitrated paper (unstable),Forbidden,,,,,,,,,,,,,
,"Nitrates, inorganic, aqueous solution, n.o.s.",5.1,UN3218,II,5.1,"58, IB2, T4, TP1",152,202,242,1 L,5 L,B,"56, 58, 133",,
,"Nitrates, inorganic, aqueous solution, n.o.s.",5.1,UN3218,III,5.1,"58, IB2, T4, TP1",152,203,241,2.5 L,30 L,B,"56, 58, 133",,
,"Nitrates, inorganic, n.o.s.",5.1,UN1477,II,5.1,"IB8, IP2, IP4, T3, TP33",152,212,240,5 kg,25 kg,A,"56, 58",,
,"Nitrates, inorganic, n.o.s.",5.1,UN1477,III,5.1,"IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,"56, 58",,
,Nitrates of diazonium compounds,Forbidden,,,,,,,,,,,,,
,"Nitrating acid mixtures, spent with > 50% nitric acid",8,UN1826,I,"8, 5.1","A7, T10, TP2, TP12, TP13",None,158,243,Forbidden,2.5 L,D,"40, 66",,
,Nitrating acid mixtures spent with not > 50% nitric acid,8,UN1826,II,8,"A7, B2, IB2, T8, TP2, TP12",None,158,242,Forbidden,30 L,D,40,,
,Nitrating acid mixtures with > 50% nitric acid,8,UN1796,I,"8, 5.1","A7, T10, TP2, TP12, TP13",None,158,243,Forbidden,2.5 L,D,"40, 66",,
,Nitrating acid mixtures with not > 50% nitric acid,8,UN1796,II,8,"A7, B2, IB2, T8, TP2, TP12, TP13",None,158,242,Forbidden,30 L,D,40,,
,"Nitric acid other than red fuming, with > 70% nitric acid",8,UN2031,I,"8, 5.1","A3, B47, B53, T10, TP2, TP12, TP13",None,158,243,Forbidden,2.5 L,D,"44, 66, 89, 90, 110, 111",,
,"Nitric acid other than red fuming, with not > 20% nitric acid",8,UN2031,II,8,"A6, B2, B47, B53, IB2, T8, TP2, TP12",None,158,242,1 L,30 L,D,,,
,"Nitric acid other than red fuming, with not > 70% nitric acid",8,UN2031,II,8,"A6, B2, B47, B53, IB2, T8, TP2, TP12",None,158,242,Forbidden,30 L,D,"44, 66, 89, 90, 110, 111",,
+ ,"Nitric acid, red fuming",8,UN2032,I,"8, 5.1, 6.1","2, B9, B32, B74, T20, TP2, TP12, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,D,"40, 66, 74, 89, 90",,
,Nitric oxide and dinitrogen tetroxide mixtures or Nitric oxide and nitrogen dioxide mixtures,2.3,UN1975,,"2.3, 5.1, 8","1, B7, B9, B14, B45, B46, B61, B66, B67, B77",None,337,None,Forbidden,Forbidden,D,"40, 89, 90",,
,"Nitric oxide, compressed",2.3,UN1660,,"2.3, 5.1, 8","1, B37, B46, B50, B60, B77",None,337,None,Forbidden,Forbidden,D,"40, 89, 90",,
G ,"Nitriles, flammable, toxic, n.o.s.",3,UN3273,I,"3, 6.1","T14, TP2, TP13, TP27",None,201,243,Forbidden,30 L,E,"40, 52",,
G ,"Nitriles, flammable, toxic, n.o.s.",3,UN3273,II,"3, 6.1","IB2, T11, TP2, TP13, TP27",150,202,243,1 L,60 L,B,"40, 52",,
G ,"Nitriles, toxic, flammable, n.o.s.",6.1,UN3275,I,"6.1, 3","5, T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,"40, 52",,
G ,"Nitriles, toxic, flammable, n.o.s.",6.1,UN3275,II,"6.1, 3","IB2, T11, TP2, TP13, TP27",153,202,243,5 L,60 L,B,"40, 52",,
G ,"Nitriles, toxic, liquid, n.o.s.",6.1,UN3276,I,6.1,"5, T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,52,,
G ,"Nitriles, toxic, liquid, n.o.s.",6.1,UN3276,II,6.1,"IB2, T11, TP2, TP27",153,202,243,5 L,60 L,B,52,,
G ,"Nitriles, toxic, liquid, n.o.s.",6.1,UN3276,III,6.1,"IB3, T7, TP1, TP28",153,203,241,60 L,220 L,A,52,,
G ,"Nitriles, toxic, solid, n.o.s.",6.1,UN3439,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,52,,
G ,"Nitriles, toxic, solid, n.o.s.",6.1,UN3439,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,B,52,,
G ,"Nitriles, toxic, solid, n.o.s.",6.1,UN3439,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,D,52,,
,"Nitrites, inorganic, aqueous solution, n.o.s.",5.1,UN3219,II,5.1,"IB1, T4, TP1",152,202,242,1 L,5 L,B,"46, 56, 58, 133",,
,"Nitrites, inorganic, aqueous solution, n.o.s.",5.1,UN3219,III,5.1,"IB2, T4, TP1",152,203,241,2.5 L,30 L,B,"46, 56, 58, 133",,
,"Nitrites, inorganic, n.o.s.",5.1,UN2627,II,5.1,"33, IB8, IP4, T3, TP33",152,212,None,5 kg,25 kg,A,"46, 56, 58, 133",,
,2-Nitro-2-methylpropanol nitrate,Forbidden,,,,,,,,,,,,,
,3-Nitro-4-chlorobenzotrifluoride,6.1,UN2307,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,40,,
,6-Nitro-4-diazotoluene-3-sulfonic acid (dry),Forbidden,,,,,,,,,,,,,
,N-Nitroaniline,Forbidden,,,,,,,,,,,,,
+ ,Nitroanilines (o-, m-, p-,),6.1,UN1661,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A
,"Nitroanisole, liquid",6.1,UN2730,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,,,
,"Nitroanisoles, solid",6.1,UN3458,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
+ ,Nitrobenzene,6.1,UN1662,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,40,,
,m-Nitrobenzene diazonium perchlorate,Forbidden,,,,,,,,,,,,,
,Nitrobenzenesulfonic acid,8,UN2305,II,8,"B2, B4, IB8, IP2, IP4, T3, TP33",154,202,242,1 L,30 L,A,,,
,"Nitrobenzol, see Nitrobenzene",,,,,,,,,,,,,,
,5-Nitrobenzotriazol,1.1D,UN0385,II,1.1D,,None,62,None,Forbidden,Forbidden,10,,,
,"Nitrobenzotrifluorides, liquid",6.1,UN2306,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,40,,
,"Nitrobenzotrifluorides, solid",6.1,UN3431,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,40,,
,"Nitrobromobenzenes, liquid",6.1,UN2732,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,,,
,"Nitrobromobenzenes, solid",6.1,UN3459,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,"Nitrocellulose, dry or wetted with < 25% water (or alcohol), by mass",1.1D,UN0340,II,1.1D,,None,62,None,Forbidden,Forbidden,13,27E,,
,"Nitrocellulose membrane filters, with not > 12.6% nitrogen, by dry mass",4.1,UN3270,II,4.1,"43, A1",151,212,240,1 kg,15 kg,D,,,
,"Nitrocellulose, plasticized with not < 18% plasticizing substance, by mass",1.3C,UN0343,II,1.3C,,None,62,None,Forbidden,Forbidden,10,,,
,"Nitrocellulose, solution, flammable with not > 12.6% nitrogen, by mass, and not > 55% nitrocellulose",3,UN2059,I,3,"T11, TP1, TP8, TP27",None,201,243,1 L,30 L,E,,,
,"Nitrocellulose, solution, flammable with not > 12.6% nitrogen, by mass, and not > 55% nitrocellulose",3,UN2059,II,3,"IB2, T4, TP1, TP8",150,202,242,5 L,60 L,B,,,
,"Nitrocellulose, solution, flammable with not > 12.6% nitrogen, by mass, and not > 55% nitrocellulose",3,UN2059,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,"Nitrocellulose, unmodified or plasticized with < 18% plasticizing substance, by mass",1.1D,UN0341,II,1.1D,,None,62,None,Forbidden,Forbidden,13,27E,,
,"Nitrocellulose, wetted with not < 25% alcohol, by mass",1.3C,UN0342,II,1.3C,,None,62,None,Forbidden,Forbidden,10,,,
,"Nitrocellulose with alcohol with not < 25% alcohol by mass, and with not > 12.6% nitrogen, by dry mass",4.1,UN2556,II,4.1,,151,212,None,1 kg,15 kg,D,28,,
,"Nitrocellulose, with not > 12.6%, by dry mass mixture with or without plasticizer, with or without pigment.",4.1,UN2557,II,4.1,44,151,212,None,1 kg,15 kg,D,28,,
,"Nitrocellulose with water with not < 25% water, by mass",4.1,UN2555,II,4.1,,151,212,None,15 kg,50 kg,E,28,,
,"Nitrochlorobenzene, see Chloronitrobenzenes etc",,,,,,,,,,,,,,
,"Nitrocresols, liquid",6.1,UN3434,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,,,
,"Nitrocresols, solid",6.1,UN2446,III,6.1,"IB8, TP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,Nitroethane,3,UN2842,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Nitroethylene polymer,Forbidden,,,,,,,,,,,,,
,Nitroethyl nitrate,Forbidden,,,,,,,,,,,,,
,"Nitrogen, compressed",2.2,UN1066,,2.2,,"306, 307",302,"314, 315",75 kg,150 kg,A,,,
,"Nitrogen dioxide, see Dinitrogen tetroxide",,,,,,,,,,,,,,
,"Nitrogen fertilizer solution, see Fertilizer ammoniating solution etc",,,,,,,,,,,,,,
,"Nitrogen peroxide, see Dinitrogen tetroxide",,,,,,,,,,,,,,
,"Nitrogen, refrigerated liquid cryogenic liquid",2.2,UN1977,,2.2,"T75, TP5",320,316,318,50 kg,500 kg,D,,,
,"Nitrogen tetroxide and nitric oxide mixtures, see Nitric oxide and nitrogen tetroxide mixtures",,,,,,,,,,,,,,
,"Nitrogen tetroxide, see Dinitrogen tetroxide",,,,,,,,,,,,,,
,Nitrogen trichloride,Forbidden,,,,,,,,,,,,,
,Nitrogen trifluoride,2.2,UN2451,,"2.2, 5.1",,None,302,None,75 kg,150 kg,D,40,,
,Nitrogen triiodide,Forbidden,,,,,,,,,,,,,
,Nitrogen triiodide monoamine,Forbidden,,,,,,,,,,,,,
,Nitrogen trioxide,2.3,UN2421,,"2.3, 5.1, 8",1,None,336,245,Forbidden,Forbidden,D,"40, 89, 90",,
,"Nitroglycerin, desensitized with not < 40% non-volatile water insoluble phlegmatizer, by mass",1.1D,UN0143,II,"1.1D, 6.1",125,None,62,None,Forbidden,Forbidden,13,21E,,
,"Nitroglycerin, liquid, not desensitized",Forbidden,,,,,,,,,,,,,
,"Nitroglycerin mixture, desensitized, liquid, flammable, n.o.s. with not > 30% nitroglycerin, by mass",3,UN3343,,3,129,None,214,None,Forbidden,Forbidden,D,,,
,"Nitroglycerin mixture, desensitized, liquid, n.o.s. with not > 30% nitroglycerin, by mass",3,UN3357,II,3,142,None,202,243,5 L,60 L,E,,,
,"Nitroglycerin mixture, desensitized, solid, n.o.s. with > 2% but not > 10% nitroglycerin, by mass",4.1,UN3319,II,4.1,118,None,None,None,Forbidden,0.5 kg,E,,,
,"Nitroglycerin, solution in alcohol, with > 1% but not > 10% nitrogylcerin",1.1D,UN0144,II,1.1D,,None,62,None,Forbidden,Forbidden,10,21E,,
,"Nitroglycerin, solution in alcohol, with > 1% but not > 5% nitroglycerin",3,UN3064,II,3,N8,None,202,None,Forbidden,5 L,E,,,
,Nitroglycerin solution in alcohol with not > 1% nitroglycerin,3,UN1204,II,3,"IB2, N34",150,202,None,5 L,60 L,B,,,
,Nitroguanidine nitrate,Forbidden,,,,,,,,,,,,,
,"Nitroguanidine or Picrite, dry or wetted with < 20% water, by mass",1.1D,UN0282,II,1.1D,,None,62,None,Forbidden,Forbidden,10,,,
,"Nitroguanidine, wetted or Picrite, wetted with not < 20% water, by mass",4.1,UN1336,I,4.1,"23, A8, A19, A20, N41",None,211,None,1 kg,15 kg,E,28,,
,1-Nitrohydantoin,Forbidden,,,,,,,,,,,,,
,Nitrohydrochloric acid,8,UN1798,I,8,"A3, B10, N41, T10, TP2, TP12, TP13",None,201,243,Forbidden,2.5 L,D,"40, 66, 74, 89, 90",,
,Nitro isobutane triol trinitrate,Forbidden,,,,,,,,,,,,,
,Nitromannite (dry),Forbidden,,,,,,,,,,,,,
,"Nitromannite, wetted, see Mannitol hexanitrate, etc",,,,,,,,,,,,,,
,Nitromethane,3,UN1261,II,3,,150,202,None,Forbidden,60 L,A,,,
,"Nitromuriatic acid, see Nitrohydrochloric acid",,,,,,,,,,,,,,
,Nitronaphthalene,4.1,UN2538,III,4.1,"A1, IB8, IP3, T1, TP33",151,213,240,25 kg,100 kg,A,,,
,N-Nitro-N-methylglycolamide nitrate,Forbidden,,,,,,,,,,,,,
+ ,Nitrophenols (o-, m-, p-,),6.1,UN1663,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A
,m-Nitrophenyldinitro methane,Forbidden,,,,,,,,,,,,,
,"4-Nitrophenylhydrazine, with not < 30% water, by mass",4.1,UN3376,I,4.1,"162, A8, A19, A20, N41",None,211,None,Forbidden,15 kg,E,36,,
,Nitropropanes,3,UN2608,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,p-Nitrosodimethylaniline,4.2,UN1369,II,4.2,"A19, A20, IB6, IP2, N34, T3, TP33",None,212,241,15 kg,50 kg,D,34,,
,"Nitrostarch, dry or wetted with < 20% water, by mass",1.1D,UN0146,II,1.1D,,None,62,None,Forbidden,Forbidden,10,,,
,"Nitrostarch, wetted with not < 20% water, by mass",4.1,UN1337,I,4.1,"23, A8, A19, A20, N41",None,211,None,1 kg,15 kg,D,28,,
,Nitrosugars (dry),Forbidden,,,,,,,,,,,,,
,Nitrosyl chloride,2.3,UN1069,,"2.3, 8","3, B14",None,304,"314, 315",Forbidden,Forbidden,D,40,,
,"Nitrosylsulfuric acid, liquid",8,UN2308,II,8,"A3, A6, A7, B2, IB2, N34, T8, TP2, TP12",154,202,242,1 L,30 L,D,"40, 66, 74, 89, 90",,
,"Nitrosylsulphuric acid, solid",8,UN3456,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,D,"40, 66, 74, 89, 90",,
,"Nitrotoluenes, liquid",6.1,UN1664,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,,,
,"Nitrotoluenes, solid",6.1,UN3446,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Nitrotoluidines (mono),6.1,UN2660,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,Nitrotriazolone or NTO,1.1D,UN0490,II,1.1D,,None,62,None,Forbidden,Forbidden,10,,,
,Nitro urea,1.1D,UN0147,II,1.1D,,None,62,None,Forbidden,Forbidden,10,,,
,Nitrous oxide,2.2,UN1070,,"2.2, 5.1",A14,306,304,"314, 315",75 kg,150 kg,A,40,,
,"Nitrous oxide and carbon dioxide mixtures, see Carbon dioxide and nitrous oxide mixtures",,,,,,,,,,,,,,
,"Nitrous oxide, refrigerated liquid",2.2,UN2201,,"2.2, 5.1","B6, T75, TP5, TP22",None,304,"314, 315",Forbidden,Forbidden,B,40,,
,"Nitroxylenes, liquid",6.1,UN1665,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,,,
,"Nitroxylenes, solid",6.1,UN3447,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Nitroxylol, see Nitroxylenes",,,,,,,,,,,,,,
,Nonanes,3,UN1920,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,"Non-flammable gas, n.o.s., see Compressed gas, etc. or Liquefied gas, etc",,,,,,,,,,,,,,
,"Nonliquefied gases, see Compressed gases, etc",,,,,,,,,,,,,,
,"Nonliquefied hydrocarbon gas, see Hydrocarbon gas mixture, compressed, n.o.s.",,,,,,,,,,,,,,
,Nonyltrichlorosilane,8,UN1799,II,8,"A7, B2, B6, IB2, N34, T7, TP2, TP13",None,202,242,Forbidden,30 L,C,40,,
,"2,5-Norbornadiene, stabilized, see Bicyclo 2,2,1 hepta-2,5-diene, stabilized",,,,,,,,,,,,,,
,"Nordhausen acid, see Sulfuric acid, fuming etc",,,,,,,,,,,,,,
,Octadecyltrichlorosilane,8,UN1800,II,8,"A7, B2, B6, IB2, N34, T7, TP2, TP13",None,202,242,Forbidden,30 L,C,40,,
,Octadiene,3,UN2309,II,3,"B1, IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
